"","stock.id","species","stock.name","lat","lon","ocean.basin","state","begin","end","n.years","max.spawners","max.recruits","source","url","comments"
"68",67,"Sockeye","Morice-Sockeye","54.2237","-129.831","WC","BC",1960,2013,50,47501.36194,117622.938116772,"Charmaine Carr-Harris, DFO, 2022",NA,"Used filtered data - R/S >45 were removed"
"69",68,"Sockeye","Motase-Sockeye","54.2237","-129.831","WC","BC",1987,2014,16,2059.428571,1814.2818044037,"Charmaine Carr-Harris, DFO, 2022",NA,"Used filtered data - R/S >45 were removed"
"70",69,"Sockeye","Pinkut-Sockeye","54.2237","-129.831","WC","BC",1960,2014,55,302165.9726,2073561.2275372,"Charmaine Carr-Harris, DFO, 2022",NA,"Used filtered data - R/S >45 were removed"
"71",70,"Sockeye","Slamgeesh-Sockeye","54.2237","-129.831","WC","BC",2000,2013,14,949,1555.41071384,"Charmaine Carr-Harris, DFO, 2022",NA,"Used filtered data - R/S >45 were removed"
"72",71,"Sockeye","Sustut-Sockeye","54.2237","-129.831","WC","BC",1960,2013,25,4991.9999996,8695.61729061943,"Charmaine Carr-Harris, DFO, 2022",NA,"Used filtered data - R/S >45 were removed"
"73",72,"Sockeye","Swan/Stephens-Sockeye","54.2237","-129.831","WC","BC",1960,2014,45,82285.377504,142844.4593685,"Charmaine Carr-Harris, DFO, 2022",NA,"Used filtered data - R/S >45 were removed"
"74",73,"Sockeye","Upper Nass River Type-Sockeye","54.9898","-130.02","WC","BC",2003,2013,4,1240,1306.07726963518,"Charmaine Carr-Harris, DFO, 2022",NA,"Used filtered data - R/S >45 were removed"
"75",74,"Sockeye","Igushik-Sockeye","57.5","-157.6","BS","AK",1963,2014,52,1987530,2810903.3498592,"Curry Cunningham, U. of Alaska Fairbanks, 2023",NA,NA
"76",75,"Sockeye","Wood-Sockeye","58.25","-157.38","BS","AK",1963,2014,52,4008102,24560850.0151954,"Curry Cunningham, U. of Alaska Fairbanks, 2023",NA,NA
"77",76,"Sockeye","Nushagak-Sockeye","58.78","-157.08","BS","AK",1963,2014,52,3669136.414,11990241.5824528,"Curry Cunningham, U. of Alaska Fairbanks, 2023",NA,NA
"78",77,"Sockeye","Kvichak-Sockeye","58.85","-158.5","BS","AK",1963,2014,52,24325926,45820688.6640769,"Curry Cunningham, U. of Alaska Fairbanks, 2023",NA,NA
"79",78,"Sockeye","Alagnak-Sockeye","58.85","-157.03","BS","AK",1963,2014,52,5396592,9751334.59949091,"Curry Cunningham, U. of Alaska Fairbanks, 2023",NA,NA
"80",79,"Sockeye","Naknek-Sockeye","58.82","-158.49","BS","AK",1963,2014,52,3578508,12744733.8536441,"Curry Cunningham, U. of Alaska Fairbanks, 2023",NA,NA
"81",80,"Sockeye","Egegik-Sockeye","58.82","-158.62","BS","AK",1963,2014,52,2786925,25731443.1009924,"Curry Cunningham, U. of Alaska Fairbanks, 2023",NA,NA
"82",81,"Sockeye","Ugashik-Sockeye","58.68","-158.8","BS","AK",1963,2014,52,3335284,8062936.54188374,"Curry Cunningham, U. of Alaska Fairbanks, 2023",NA,NA
"83",82,"Pink","Puyallup-Pink","47.26972","122.4272","WC","WA",1959,2019,31,1203364,1502355,NA,NA,""
"84",83,"Pink","Hood Canal-Pink","47.5644","122.9956","WC","WA",1959,2019,31,549512,901739,NA,NA,"Sum of Dosewallips, Duckabush, and Hamma Hamma"
"85",84,"Pink","Snohomish-Pink","48.02139","122.2072","WC","WA",1959,2019,31,1929839,3054656,NA,NA,""
"86",85,"Pink","Dungeness-Pink","48.1508","123.1333","WC","WA",1959,2019,31,4e+05,638225,NA,NA,""
"87",86,"Pink","Stillaguamish-Pink","48.23861","122.3758","WC","WA",1959,2019,31,952534,2287418,NA,NA,""
"88",87,"Pink","Skagit-Pink","48.3875","122.3656","WC","WA",1959,2019,31,1190000,5008979,NA,NA,""
"89",88,"Pink","Nooksack-Pink","48.775","122.5978","WC","WA",1959,2019,31,247000,591801,NA,NA,""
"90",89,"Pink","Nisqually-Pink","47.101","-122.706",NA,"WA",1959,2019,31,815887,921434,NA,NA,NA
"91",90,"Pink","S South Misc.-Pink","447.16","-122.91",NA,"WA",1959,2019,31,1492,2374,NA,NA,NA
"92",91,"Pink","Fraser-Pink","49.12333","123.0569","WC","BC",1961,2001,21,19725000,2.6e+07,NA,NA,""
"93",92,"Pink","BC South (no Fraser)-Pink","50.28778","125.2008","WC","BC",1953,2008,56,5021355,7518783,NA,NA,"Statistical Areas 11-16"
"94",93,"Pink","Area 10-Pink","51.28722","127.6819","WC","BC",1980,2007,23,101868,223633,NA,NA,""
