"","species","stock","log_a_med","log_a_LCI","log_a_UCI","gamma_med","gamma_LCI","gamma_UCI","w_med","w_LCI","w_UCI","min_ESS","min_Rhat"
"25%...65","Sockeye","Mcdonell-Sockeye",1.78612673607933,1.54701898216232,2.04102359969503,0.5,0.318487959655264,0.681512040344736,0.0159601122981246,-0.564514407066607,0.590701554674578,1.0098781159507,Inf
"25%...66","Sockeye","Morice-Sockeye",1.59093982780557,1.31039466362041,1.85801311630191,0.5,0.438264401775723,0.561735598224277,0.022645687716653,-0.600821811741995,0.679905320599773,1.00555304424469,Inf
"25%...67","Sockeye","Motase-Sockeye",1.50391400394755,1.14719566408901,1.85671708718477,0.5,0.353327171545172,0.646672828454828,0.00501844791836717,-0.637315490067069,0.657085971614569,1.02802857258162,Inf
"25%...68","Sockeye","Pinkut-Sockeye",1.42058652559109,0.983664242078975,1.9754783248618,0.5,0.285233700559696,0.714766299440304,0.00823276206845514,-0.636411891310973,0.624360226539652,1.00495927812627,Inf
"25%...69","Sockeye","Slamgeesh-Sockeye",1.34694845873845,0.999689490818934,1.67208413171508,0.5,0.343934654429478,0.656065345570522,0.0275597099783543,-0.612383006836588,0.653976850434447,1.00536473010122,Inf
"25%...70","Sockeye","Sustut-Sockeye",2.15600602274259,1.77262153132135,2.54048524161909,0.5,0.422338140447932,0.577661859552068,0.00108400859076241,-0.683885274393034,0.649383252751047,1.00517857681471,Inf
"25%...71","Sockeye","Swan/Stephens-Sockeye",0.925009521341655,0.476899469687018,1.49515100781462,0.5,0.35105192555903,0.64894807444097,-0.0237725282941079,-0.813167150835491,0.764579524026459,1.01220206027839,Inf
"25%...72","Sockeye","Upper Nass River Type-Sockeye",1.53343357876615,0.883598283083685,2.08271758506482,0.5,0.15666148693018,0.84333851306982,-9.18178140783682e-05,-0.665998022602214,0.690168256075168,1.00646473777366,Inf
"25%...73","Sockeye","Igushik-Sockeye",1.37108276394864,1.04555883566896,1.6471282738384,0.5,0.379315070465913,0.620684929534087,-0.0423568644591054,-0.642781304678138,0.594611151324406,1.00793365465915,Inf
"25%...74","Sockeye","Wood-Sockeye",1.46621395932845,1.14051349141951,1.81538953624156,0.5,0.245641028793726,0.754358971206274,-0.00295919668607054,-0.729199204604674,0.731586293141451,1.00723319585192,Inf
"25%...75","Sockeye","Nushagak-Sockeye",1.47326309303034,1.23693791259013,1.72851355991593,0.5,0.412645262142418,0.587354737857582,0.00769245184110884,-0.664048405870129,0.651289251468264,1.00778446744339,Inf
"25%...76","Sockeye","Kvichak-Sockeye",0.91165640723899,0.60732724276355,1.18529399547758,0.5,0.384866543481473,0.615133456518527,0.040924337520892,-0.522507721266395,0.572968880707839,1.05042457117882,Inf
"25%...77","Sockeye","Alagnak-Sockeye",1.21785199216048,0.894102402906799,1.59772199412838,0.5,0.340029530135226,0.659970469864774,-0.00814313959974724,-0.629404108257018,0.636161694816677,1.00804620105243,Inf
